strategy,total_return,cagr,volatility_annual,sharpe,max_drawdown,win_rate,avg_positions_per_day,days_in_market_pct
SPY,0.07312068687734219,0.1515880086040986,0.11542319798367374,0.9343287566076984,-0.0997432335593185,0.56,1.0,1.0
EqualWeight,0.13536544688032226,0.2890546979697539,0.23417943580836012,1.0313079361989186,-0.1271059766038863,0.5555555555555556,8.0,1.0
Baseline,-0.023106591661190112,-0.045679268744183266,0.25917122220593447,-0.20474582375356873,-0.17025362528615504,0.5087719298245614,4.777777777777778,0.9047619047619048
Augmented,0.08319819920981097,0.17331833877137726,0.23664810468054895,0.6251789630151313,-0.12417725450156372,0.5391304347826087,4.174603174603175,0.9126984126984127
Augmented_Top3,0.1740304800303245,0.3783475680402342,0.2692052225930135,1.178142101419694,-0.12015841956887724,0.5396825396825397,3.0,1.0
