feature,importance
ret_spy_1,8.66866397857666
ret_spy_5,7.855782508850098
sent_mean_1d,6.244348526000977
volume_zscore_20,6.111495018005371
ret_5,5.72230339050293
ticker,5.612109661102295
sent_std_1d,5.563061237335205
vol_20,5.560807704925537
ret_10,5.443489074707031
ret_20,5.428410053253174
sent_mean_5d,5.421751499176025
rsi_14,5.271470069885254
vol_5,5.104321479797363
ret_1,4.901650428771973
sent_momentum_5d,4.6712775230407715
sent_count_1d,4.303436279296875
sent_count_5d,4.300158977508545
